zone,annee,semestre,semestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_36.0_-3.0,2023,2,2023-S2,Augmentation,79.3,79.3,14.1,6.6,Stable,False
z_36.0_-3.0,2024,1,2024-S1,Augmentation,58.1,58.1,30.8,11.1,Stable,False
z_36.0_-3.0,2024,2,2024-S2,Augmentation,61.8,61.8,29.3,8.9,Stable,False
z_36.0_-3.0,2025,1,2025-S1,Diminution,45.7,41.3,45.7,13.1,Stable,False
z_36.0_-3.0,2025,2,2025-S2,Augmentation,58.4,58.4,30.7,10.8,Augmentation,True
z_36.0_-4.5,2023,1,2023-S1,Diminution,56.8,19.0,56.8,24.2,Stable,False
z_36.0_-4.5,2023,2,2023-S2,Diminution,56.8,17.9,56.8,25.4,Augmentation,False
z_36.0_-4.5,2024,1,2024-S1,Diminution,39.8,32.6,39.8,27.6,Stable,False
z_36.0_-4.5,2024,2,2024-S2,Diminution,44.4,32.7,44.4,22.9,Stable,False
z_36.0_-4.5,2025,1,2025-S1,Diminution,62.7,18.1,62.7,19.2,Stable,False
z_36.0_-4.5,2025,2,2025-S2,Diminution,43.2,27.9,43.2,28.9,Diminution,True
z_36.0_-6.0,2023,1,2023-S1,Augmentation,50.1,50.1,41.5,8.4,Diminution,False
z_36.0_-6.0,2023,2,2023-S2,Augmentation,52.0,52.0,40.6,7.4,Diminution,False
z_36.0_-6.0,2024,1,2024-S1,Diminution,60.8,31.7,60.8,7.5,Diminution,True
z_36.0_-6.0,2024,2,2024-S2,Diminution,60.9,32.0,60.9,7.1,Diminution,True
z_36.0_-6.0,2025,1,2025-S1,Diminution,77.1,17.3,77.1,5.7,Diminution,True
z_36.0_-6.0,2025,2,2025-S2,Diminution,67.6,24.8,67.6,7.6,Diminution,True
z_36.0_-7.5,2023,1,2023-S1,Augmentation,78.9,78.9,14.0,7.1,Stable,False
z_36.0_-7.5,2023,2,2023-S2,Augmentation,51.8,51.8,38.6,9.6,Augmentation,True
z_36.0_-7.5,2024,1,2024-S1,Augmentation,57.7,57.7,32.1,10.2,Augmentation,True
z_36.0_-7.5,2024,2,2024-S2,Augmentation,44.9,44.9,43.0,12.1,Stable,False
