zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_39.0_19.5,2025,Augmentation,38.3,38.3,20.3,41.4,Diminution,False
z_39.0_22.5,2023,Augmentation,45.5,45.5,16.6,37.9,Stable,False
z_39.0_22.5,2024,Augmentation,44.2,44.2,13.5,42.4,Diminution,False
z_39.0_22.5,2025,Stable,49.9,34.1,15.9,49.9,Stable,True
z_39.0_24.0,2023,Augmentation,57.2,57.2,20.1,22.8,Stable,False
z_39.0_24.0,2024,Augmentation,56.3,56.3,20.1,23.6,Augmentation,True
z_39.0_24.0,2025,Augmentation,63.5,63.5,16.9,19.6,Diminution,False
z_39.0_25.5,2023,Augmentation,57.1,57.1,14.8,28.2,Diminution,False
z_39.0_25.5,2024,Augmentation,52.0,52.0,15.7,32.2,Diminution,False
z_39.0_25.5,2025,Augmentation,52.3,52.3,12.6,35.1,Diminution,False
z_39.0_3.0,2023,Augmentation,65.0,65.0,14.4,20.6,Augmentation,True
z_39.0_3.0,2024,Augmentation,58.3,58.3,19.6,22.1,Stable,False
z_39.0_3.0,2025,Augmentation,55.8,55.8,18.0,26.2,Diminution,False
z_39.0_4.5,2023,Stable,61.7,17.0,21.3,61.7,Diminution,False
z_39.0_4.5,2024,Diminution,35.6,25.5,35.6,39.0,Augmentation,False
z_39.0_4.5,2025,Stable,49.0,19.7,31.3,49.0,Diminution,False
z_39.0_6.0,2023,Diminution,85.3,1.4,85.3,13.3,Stable,False
z_39.0_6.0,2024,Diminution,72.7,6.8,72.7,20.5,Diminution,True
z_39.0_6.0,2025,Diminution,60.1,15.0,60.1,24.9,Diminution,True
z_39.0_7.5,2023,Augmentation,35.3,35.3,29.2,35.5,Diminution,False
z_39.0_7.5,2024,Augmentation,38.6,38.6,28.9,32.5,Diminution,False
z_39.0_7.5,2025,Augmentation,41.2,41.2,29.3,29.4,Diminution,False
z_39.0_9.0,2023,Augmentation,45.4,45.4,20.5,34.2,Augmentation,True
z_39.0_9.0,2024,Augmentation,54.0,54.0,18.0,28.0,Augmentation,True
