zone,annee,trimestre,trimestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_34.5_19.5,2023,3,2023-T3,Diminution,90.1,2.5,90.1,7.4,Diminution,True
z_34.5_19.5,2024,1,2024-T1,Diminution,91.0,2.0,91.0,7.0,Stable,False
z_34.5_19.5,2024,2,2024-T2,Diminution,50.7,7.7,50.7,41.5,Diminution,True
z_34.5_19.5,2024,3,2024-T3,Diminution,77.3,3.2,77.3,19.5,Diminution,True
z_34.5_19.5,2025,1,2025-T1,Diminution,82.8,2.1,82.8,15.1,Diminution,True
z_34.5_19.5,2025,2,2025-T2,Diminution,89.3,2.2,89.3,8.5,Diminution,True
z_34.5_19.5,2025,3,2025-T3,Diminution,90.1,2.5,90.1,7.4,Diminution,True
z_34.5_22.5,2023,1,2023-T1,Diminution,50.5,10.1,50.5,39.3,Stable,False
z_34.5_22.5,2023,2,2023-T2,Diminution,38.1,25.1,38.1,36.8,Augmentation,False
z_34.5_22.5,2023,3,2023-T3,Stable,54.8,15.8,29.4,54.8,Augmentation,False
z_34.5_22.5,2023,4,2023-T4,Stable,48.0,21.5,30.5,48.0,Diminution,False
z_34.5_22.5,2024,1,2024-T1,Stable,55.6,15.9,28.5,55.6,Diminution,False
z_34.5_22.5,2024,2,2024-T2,Stable,48.1,19.7,32.2,48.1,Stable,True
z_34.5_22.5,2024,3,2024-T3,Stable,48.5,20.0,31.5,48.5,Diminution,False
z_34.5_22.5,2024,4,2024-T4,Stable,41.7,23.9,34.5,41.7,Diminution,False
z_34.5_22.5,2025,1,2025-T1,Stable,49.6,18.1,32.2,49.6,Stable,True
z_34.5_22.5,2025,2,2025-T2,Stable,50.4,15.6,34.0,50.4,Diminution,False
z_34.5_22.5,2025,3,2025-T3,Stable,43.8,19.9,36.3,43.8,Stable,True
z_34.5_22.5,2025,4,2025-T4,Diminution,46.4,21.9,46.4,31.7,Diminution,True
z_34.5_24.0,2023,1,2023-T1,Augmentation,66.5,66.5,13.4,20.1,Stable,False
z_34.5_24.0,2023,2,2023-T2,Stable,39.7,36.4,23.9,39.7,Stable,True
z_34.5_24.0,2023,3,2023-T3,Stable,38.6,36.8,24.6,38.6,Diminution,False
z_34.5_24.0,2023,4,2023-T4,Augmentation,53.6,53.6,23.7,22.7,Stable,False
